iter	Passed	Remaining
0	3	354
1	7	359
2	10	351
3	15	371
4	19	376
5	23	373
6	28	375
7	33	381
8	37	380
9	41	374
10	47	383
11	51	377
12	55	372
13	60	373
14	64	367
15	69	362
16	74	361
17	78	356
18	82	350
19	86	345
20	90	339
21	95	337
22	99	334
23	103	328
24	108	325
25	112	318
26	116	315
27	121	312
28	124	304
29	127	297
30	131	292
31	134	286
32	137	280
33	141	273
34	144	268
35	148	264
36	152	258
37	154	252
38	159	249
39	162	243
40	166	239
41	167	231
42	172	228
43	175	222
44	178	218
45	182	214
46	185	209
47	189	205
48	192	200
49	195	195
50	198	190
51	202	186
52	207	183
53	210	179
54	213	174
55	215	169
56	220	166
57	223	161
58	226	157
59	229	153
60	234	149
61	238	146
62	241	141
63	245	138
64	248	133
65	251	129
66	254	125
67	257	121
68	261	117
69	264	113
70	267	109
71	271	105
72	275	101
73	278	97
74	281	93
75	284	89
76	288	86
77	291	82
78	295	78
79	298	74
80	301	70
81	304	66
82	308	63
83	311	59
84	314	55
85	317	51
86	324	48
87	326	44
88	329	40
89	333	37
90	336	33
91	339	29
92	342	25
93	345	22
94	348	18
95	351	14
96	354	10
97	357	7
98	360	3
99	363	0
