iter	Passed	Remaining
0	129	129800
1	134	66927
2	137	45818
3	140	35088
4	144	28790
5	147	24499
6	150	21312
7	154	19097
8	159	17558
9	163	16161
10	165	14909
11	168	13840
12	173	13134
13	176	12398
14	179	11768
15	182	11208
16	187	10821
17	188	10270
18	189	9796
19	190	9358
20	192	8953
21	193	8592
22	194	8248
23	195	7934
24	196	7650
25	197	7392
26	198	7147
27	200	6976
28	202	6792
29	203	6594
30	204	6407
31	206	6241
32	207	6078
33	208	5925
34	209	5786
35	210	5648
36	211	5516
37	212	5389
38	215	5301
39	217	5208
40	218	5104
41	219	4998
42	220	4902
43	223	4864
44	226	4814
45	233	4835
46	238	4830
47	241	4796
48	246	4788
49	251	4769
50	254	4742
51	261	4764
52	266	4756
53	269	4727
54	276	4744
55	281	4739
56	284	4713
57	289	4708
58	296	4731
59	301	4718
60	306	4714
61	310	4704
62	314	4678
63	319	4675
64	325	4682
65	329	4665
66	336	4688
67	340	4667
68	344	4654
69	348	4635
70	353	4622
71	359	4636
72	365	4639
73	370	4633
74	374	4613
75	377	4588
76	383	4594
77	388	4590
78	392	4573
79	398	4584
80	402	4564
81	406	4546
82	407	4507
83	413	4511
84	419	4512
85	422	4493
86	427	4490
87	431	4476
88	435	4453
89	437	4427
90	442	4423
91	447	4416
92	450	4397
93	453	4374
94	458	4363
95	461	4347
96	465	4329
97	468	4309
98	472	4296
99	475	4277
100	478	4257
101	482	4246
102	487	4247
103	491	4234
104	495	4224
105	498	4204
106	503	4200
107	506	4185
108	509	4168
109	512	4149
110	518	4152
111	523	4151
112	526	4132
113	529	4114
114	534	4115
115	537	4098
116	540	4076
117	543	4061
118	548	4061
119	551	4046
120	554	4031
121	557	4014
122	560	3999
123	563	3983
124	568	3976
125	571	3966
126	574	3947
127	578	3942
128	581	3927
129	584	3911
130	587	3895
131	590	3884
132	595	3881
133	598	3869
134	602	3859
135	604	3842
136	609	3838
137	613	3833
138	617	3825
139	621	3819
140	625	3810
141	627	3792
142	630	3780
